Account Initialization:
2024-02-05 12:00:00,1,init,0.00,1000.00
2024-02-05 12:00:00,2,init,0.00,1500.00
2024-02-05 12:00:00,3,init,0.00,2000.00
2025-02-06 14:23:56,1,deposit,100000.01,101000.01
2025-02-06 14:38:22,3,balance,0.00,2000.00
2025-02-06 14:38:28,3,deposit,1000.00,3000.00
2025-02-06 14:49:05,1,balance,0.00,101000.01
2025-02-06 14:49:22,1,withdraw,100.00,100900.01
2025-02-06 14:49:32,1,deposit,200.00,101100.01
2025-02-06 21:04:44,1,deposit,1000.12,102100.13
2025-02-06 21:06:50,1,withdraw,10000.75,92099.38
2025-02-06 21:08:37,1,balance,0.00,92099.38
